customer_id,age,gender,tenure_months,total_spend_inr,num_support_tickets,last_order_days_ago,churn_status
100001,40,Male,67,57905.72,0,320,Active
100002,33,Male,53,55495.65,0,219,Active
100003,42,Male,67,8544.57,0,220,Active
100004,53,Male,66,3654.79,5,342,Active
100005,32,Female,64,24440.45,0,170,active
100006,32,Male,67,17080.08,0,80,ACTIVE
100007,999,Male,39,53710.86,0,275,Active
100008,44,Female,38,34354.3,0,116,Active
100009,29,Male,40,39712.83,4,94,CHURNED
100010,41,Female,19,61216.87,0,69,Active
100011,29,Female,5,36409.35,1,287,Active
100012,29,Male,69,41324.55,0,171,Churned
100013,37,Female,14,63331.7,1,95,Active
100014,12,Female,49,32918.85,3,149,CHURNED
100015,14,Male,64,7151.38,0,366,Active
100016,28,Male,57,39606.19,0,223,Active
100017,-5,Female,35,43872.76,0,193,Active
100018,999,F,5,38872.96,0,233,Active
100019,24,Female,39,20095.66,1,205,Churned
100020,18,Male,24,17553.07,4,162,Active
100021,52,Female,40,28361.97,0,36,Active
100022,32,Female,50,13300.93,2,230,ACTIVE
100023,35,Female,58,50285.75,0,41,Churned
100024,17,Female,1,46485.94,0,162,Active
100025,28,Female,43,47797.28,1,153,Active
100026,36,M,39,17635.01,4,321,Active
100027,-5,Female,10,19243.15,0,76,Active
100028,39,Female,2,59266.88,0,380,Churned
100029,27,Male,63,52068.27,1,251,CHURNED
100030,31,M,16,65763.31,2,278,Active
100031,27,F,37,30859.42,3,188,Active
100032,57,Male,16,41502.26,0,377,Churned
100033,34,Female,27,55669.55,2,278,Active
100034,22,Male,63,73087.47,0,189,Active
100035,44,Female,64,74232.75,1,126,Active
100036,20,Female,32,74938.98,0,240,Churned
100037,37,Male,9,66898.96,0,194,Churned
100038,11,M,11,48334.16,4,200,Active
100039,19,Male,70,1515.85,1,225,ACTIVE
100040,37,Female,30,52766.24,0,69,Active
100041,43,Female,15,18656.36,2,192,CHURNED
100042,37,Male,59,5230.37,1,10,CHURNED
100043,33,Male,48,52591.65,0,267,Churned
100044,31,Male,60,56944.81,0,246,Churned
100045,17,Female,68,49798.05,0,261,Active
100046,26,Female,57,28022.56,0,12,Active
100047,29,Male,64,38814.31,5,44,Active
100048,47,Male,54,70186.12,1,109,Active
100049,39,Male,54,54991.21,3,349,Active
100050,13,Female,59,38346.63,1,90,ACTIVE
100051,38,Female,39,44915.24,1,285,Active
100052,30,Male,15,69648.59,0,292,Churned
100053,26,Female,28,30139.91,1,291,Active
100054,42,Male,36,8536.43,2,369,CHURNED
100055,47,F,54,25111.14,0,264,Active
100056,46,F,17,31724.82,1,272,Churned
100057,999,Female,22,21199.33,0,299,active
100058,31,F,36,40143.96,3,69,ACTIVE
100059,38,M,29,23559.48,5,144,Active
